record.csv
借款id,投标人,年利率,有效金额,投标日期,投标时刻,期限
100491,yeweixin520520,15,50,2008-3-25,20:56:08,3
100491,fendy,15,50,2008-3-27,9:34:51,3
100491,zxwzxier,15,50,2008-3-27,17:16:41,3
100491,agerlet,15,100,2008-3-28,11:43:51,3
100491,yeweixin520520,15,350,2008-3-28,17:21:56,3
100491,simonchow24,15,50,2008-3-29,16:20:37,3
100491,jackgu,15,500,2008-3-30,17:49:46,3
100491,yeweixin520520,15,200,2008-4-1,16:51:32,3
100491,plankton13,15,400,2008-4-2,12:44:22,3
100491,ydx366,8,200,2008-4-2,15:54:25,3
100491,huihuih,15,300,2008-4-2,20:55:45,3
100491,yeweixin520520,15,200,2008-4-3,9:01:53,3
100491,xianxian,15,50,2008-4-3,17:39:27,3
100491,agerlet,15,100,2008-4-3,17:45:44,3
100491,YQCHENG,15,100,2008-4-3,6:36:03,3
100491,jackgu,15,100,2008-4-3,13:19:46,3
100491,jackgu,15,100,2008-4-3,17:57:02,3
101448,gary,15,200,2008-4-13,8:02:11,2
101448,jackgu,15,200,2008-4-13,10:17:24,2
101448,thinfox,15,200,2008-4-13,13:30:26,2
101448,shu,15,400,2008-4-14,13:24:56,2
101448,explorerhan,15,800,2008-4-14,15:43:32,2
101448,zqy5,15,200,2008-4-14,17:03:05,2
101448,ykea,15,200,2008-4-15,18:41:46,2
102527,yunweichao,20,100,2008-4-28,9:50:35,3
102527,jackgu,20,50,2008-4-28,20:43:02,3
102527,zqy5,20,100,2008-4-29,10:58:32,3
102527,fendy,20,50,2008-4-30,11:25:26,3
102527,jackgu,20,500,2008-4-30,13:25:40,3
102527,YQCHENG,20,500,2008-4-30,3:49:29,3
102527,thinfox,20,500,2008-4-30,17:10:23,3
102527,ykea,19.99,180,2008-5-2,16:11:55,3
102808,mei,7.74,50,2008-5-2,8:43:00,12
102808,jackgu,7.74,50,2008-5-2,9:51:36,12
102808,myth,7.74,50,2008-5-2,10:03:04,12
102808,brianzhu,7.74,50,2008-5-2,12:43:54,12
102808,jackgu,7.74,50,2008-5-2,14:07:46,12
102808,jackgu,7.74,50,2008-5-2,19:23:14,12
103677,jackgu,20,200,2008-5-14,14:37:15,8
103677,jackgu,20,200,2008-5-14,16:18:36,8
103677,fendy,20,200,2008-5-16,17:09:50,8
103677,agerlet,20,50,2008-5-16,21:30:32,8
103677,plankton13,20,130,2008-5-17,11:03:04,8
103677,evio,20,372,2008-5-17,16:24:17,8
103677,evio,20,372,2008-5-17,17:42:24,8
103677,simonchow24,20,50,2008-5-19,8:44:46,8
103677,evio,20,50,2008-5-19,9:49:48,8
103677,huihuih,20,200,2008-5-19,21:11:14,8
103677,ykea,20,481,2008-5-20,9:38:21,8
103677,jackgu,20,300,2008-5-20,10:55:58,8
103677,hejing8610,20,700,2008-5-20,12:25:51,8
104152,longhy,6,700,2008-5-20,10:23:11,6
104152,longhy,6,700,2008-5-20,15:32:05,6
104152,longhy,6,700,2008-5-20,10:03:19,6
104955,zehuiz,20,200,2008-6-2,15:11:34,5
104955,zrmeng,20,200,2008-6-3,9:45:03,5
104955,xylia,20,200,2008-6-3,20:32:36,5
104955,yunweichao,20,100,2008-6-4,20:48:55,5
104955,yunweichao,20,100,2008-6-4,20:49:00,5
104955,xylia,20,100,2008-6-4,22:08:32,5
119649,senre,20,300,2009-3-8,7:38:12,8
119649,liyu2000,20,50,2009-3-8,10:26:52,8
119649,litianbao,20,50,2009-3-8,12:51:08,8
119649,tthero,20,290,2009-3-8,16:03:22,8
119649,wywoc,19.5,111,2009-3-8,19:49:21,8
119649,flyboy,19.5,100,2009-3-9,20:56:27,8
119649,lhq777,19.5,300,2009-3-11,12:34:51,8
119649,sunfeng,19.5,200,2009-3-11,15:40:22,8
119649,litianbao,19.5,200,2009-3-11,23:40:36,8
119649,zhangjun6906,11,300,2009-3-12,6:48:17,8
119649,sunfeng,19.5,100,2009-3-12,9:10:08,8
119649,drizzle,10,50,2009-3-12,10:53:26,8
119649,youdianwu,10,100,2009-3-13,14:18:33,8
119649,litianbao,16.5,50,2009-3-13,21:39:10,8
119649,litianbao,9.5,300,2009-3-13,21:40:01,8
119649,wei840129,10,50,2009-3-14,5:02:56,8
119649,sanyuan2008,1,300,2009-3-14,8:28:41,8
119649,tttnnnfff,10,50,2009-3-14,8:34:05,8
119649,guchenjie,15,50,2009-3-14,18:25:16,8
119649,slon2000,15,50,2009-3-14,21:32:40,8
119672,chenagain,22,300,2009-3-8,19:20:45,10
119672,flyboy,22,200,2009-3-8,23:44:12,10
119672,garmont,22,200,2009-3-10,16:01:56,10
119672,senre,22,200,2009-3-10,16:20:33,10
119672,liudan19830729,22,100,2009-3-10,19:43:32,10
119672,YQCHENG,22,300,2009-3-10,20:25:09,10
119672,litianbao,22,50,2009-3-10,20:39:32,10
119672,hm_xxk,22,200,2009-3-10,21:47:58,10
119672,fundkl,22,65,2009-3-10,22:21:00,10
119672,ericchenshuqin,22,535,2009-3-11,0:11:42,10
119672,wywoc,22,100,2009-3-11,9:46:01,10
119672,csjgs,22,124,2009-3-11,9:48:59,10
119672,sure96hotmail,22,124,2009-3-11,11:02:57,10
119672,slon2000,22,37,2009-3-11,11:06:27,10
119675,zhangjun6906,11,600,2009-3-12,6:44:37,3
119675,lorrenceluo,11,50,2009-3-12,15:10:11,3
119675,litianbao,6.3,50,2009-3-13,19:02:24,3
119675,wei840129,9.9,150,2009-3-14,5:04:26,3
119675,wywoc,10,150,2009-3-14,9:46:02,3
119675,guchenjie,10,50,2009-3-14,12:19:12,3
119675,zongbin,9.9,200,2009-3-15,5:23:30,3
119675,zongbin,9.9,523,2009-3-15,5:24:47,3
119675,zongbin,9.9,777,2009-3-15,5:29:50,3
119675,senre,9,200,2009-3-15,6:36:22,3
119675,vicoocus,10.5,200,2009-3-15,11:57:01,3
119675,multitrust,10,50,2009-3-15,12:36:10,3
119736,lin2200302,12,100,2009-3-11,15:03:22,1
119736,garmont,12,50,2009-3-11,16:43:54,1
119736,kan365,12,200,2009-3-11,18:54:43,1
119736,iqlong,12,50,2009-3-12,20:17:52,1
119736,sanyuan2008,1,69,2009-3-13,8:31:45,1
119736,fuwei0731,10,198,2009-3-13,8:39:21,1
119736,jack67,9.5,149,2009-3-13,17:01:30,1
119736,youdianwu,10,50,2009-3-13,17:55:14,1
119736,guchenjie,11,50,2009-3-14,17:35:56,1
119736,zongbin,1,50,2009-3-15,5:20:42,1
119736,wywoc,13,110,2009-3-15,12:36:17,1
119736,sunsjk,12.5,200,2009-3-15,17:08:45,1
119736,litianbao,9.5,50,2009-3-15,19:50:15,1
119736,Alipay367479,10,300,2009-3-15,22:49:17,1
119736,Alipay367479,11,200,2009-3-15,22:55:19,1
119736,tttnnnfff,10,50,2009-3-16,9:51:27,1
119736,vivian19860713,10,50,2009-3-16,12:52:27,1
119736,tonglin,13.8,50,2009-3-16,13:24:39,1
119736,tonglin,13.8,23,2009-3-16,13:26:16,1
119763,guchenjie,1,50,2009-3-11,18:53:00,3
119763,tttnnnfff,10,27,2009-3-14,8:31:06,3
119763,drizzle,7,73,2009-3-14,19:46:51,3
119763,zongbin,9.9,50,2009-3-15,5:20:05,3
119763,Alipay367479,8,600,2009-3-16,17:05:33,3
119763,lorrenceluo,9.5,500,2009-3-16,17:21:54,3
119763,wywoc,9.5,150,2009-3-16,17:31:40,3
119763,multitrust,9.5,50,2009-3-16,17:49:20,3
119766,drizzle,10,50,2009-3-12,10:53:43,2
119766,sure96hotmail,5,183,2009-3-12,11:39:19,2
119766,lorrenceluo,12,469,2009-3-12,11:52:53,2
119766,sure96hotmail,5,448,2009-3-12,16:56:10,2
119766,youdianwu,10,800,2009-3-12,18:19:53,2
119766,multitrust,9.5,50,2009-3-12,18:34:18,2
119838,jack67,19.5,497,2009-3-11,18:32:41,1
119838,kan365,18,200,2009-3-11,18:57:25,1
119838,youdianwu,18,500,2009-3-12,13:25:48,1
119838,youdianwu,15,500,2009-3-12,13:26:34,1
119838,wywoc,18,100,2009-3-13,13:03:53,1
119838,wei840129,10,50,2009-3-14,5:02:34,1
119838,sanyuan2008,1,200,2009-3-14,7:26:58,1
119838,tttnnnfff,15,100,2009-3-14,8:33:18,1
119838,pfzl518,19,63,2009-3-14,9:27:14,1
119838,guchenjie,14,50,2009-3-14,12:22:54,1
119838,yangok1,19,443,2009-3-14,15:11:10,1
119838,rainboy,12,174,2009-3-14,16:18:43,1
119838,sanyuan2008,1,99,2009-3-14,18:04:49,1
119838,wz_cp1011,19.5,24,2009-3-14,18:35:43,1
119913,sarowhu1990,25,500,2009-3-11,19:50:27,18
119913,senre,25,800,2009-3-11,20:04:29,18
119913,viplyb,25,50,2009-3-11,21:58:26,18
119913,sarowhu1990,25,50,2009-3-11,23:59:31,18
119913,tttnnnfff,25,455,2009-3-12,8:23:26,18
119913,czstanley,25,778,2009-3-12,9:41:38,18
119913,liu35501,25,68,2009-3-12,12:06:50,18
119913,wduy6698,25,300,2009-3-12,14:38:20,18
119913,flyboy,25,137,2009-3-12,15:24:02,18
119913,xpfde,25,200,2009-3-12,16:56:13,18
119913,sanyuan2008,25,600,2009-3-12,18:40:16,18
119913,sanyuan2008,25,400,2009-3-12,18:42:59,18
119913,ttlonger,25,61,2009-3-12,20:13:51,18
119913,Alipay000306259,25,200,2009-3-12,21:34:50,18
119913,chenagain,25,200,2009-3-13,0:05:09,18
119913,chenagain,25,150,2009-3-13,0:08:11,18
119913,senre,25,700,2009-3-13,8:50:34,18
119913,litianbao,25,700,2009-3-13,9:50:28,18
119913,ericchenshuqin,25,101,2009-3-13,10:35:43,18
119913,daipm,25,500,2009-3-13,11:41:57,18
119913,kjhdm,25,500,2009-3-13,12:54:30,18
119913,W73096,25,990,2009-3-13,13:07:05,18
119913,fundkl,25,199,2009-3-13,20:30:34,18
119913,spiderman,25,199,2009-3-13,23:19:25,18
119913,fundkl,25,199,2009-3-13,0:55:50,18
119913,tttnnnfff,25,199,2009-3-13,8:25:33,18
119913,sarowhu1990,25,147,2009-3-14,13:21:17,18
119913,flyboy,25,434,2009-3-14,18:43:03,18
119913,xlkft,25,100,2009-3-15,4:39:03,18
119913,multitrust,25,400,2009-3-15,13:00:02,18
119913,liu35501,25,50,2009-3-15,19:34:58,18
119913,kjhdm,25,100,2009-3-15,19:49:48,18
119913,tttnnnfff,25,50,2009-3-16,12:25:09,18
119913,mdnywb,25,232,2009-3-16,14:12:40,18
119913,wduy6698,25,594,2009-3-16,15:18:35,18
119913,csjgs,25,200,2009-3-16,15:32:32,18
119913,wbshh,25,200,2009-3-16,15:35:53,18
119913,pfzl518,25,200,2009-3-17,8:24:38,18
119913,wchao111,25,139,2009-3-17,8:35:59,18
119913,lichen92,25,139,2009-3-17,10:22:53,18
119913,wuwenhao85,25,139,2009-3-17,0:23:41,18
119913,wangsx02,25,139,2009-3-17,1:18:24,18
119913,wuwenhao85,25,139,2009-3-17,13:05:49,18
119913,wangyiliang,25,139,2009-3-17,13:40:59,18
119913,wangyiliang,25,139,2009-3-17,13:44:24,18
119913,wangsx02,25,139,2009-3-17,14:07:50,18
119913,aguidalian,25,139,2009-3-17,15:01:42,18
119913,wkxwfr,25,139,2009-3-17,15:26:25,18
120127,YuanQi,15,200,2009-3-15,1:20:17,4
120127,senre,15,35,2009-3-16,8:49:34,4
120127,kan365,10,300,2009-3-16,18:44:57,4
120127,YuanQi,8,300,2009-3-16,23:28:07,4
120127,litianbao,9,50,2009-3-17,1:21:35,4
120127,guchenjie,10,50,2009-3-17,19:10:21,4
120127,wywoc,9.5,200,2009-3-17,20:24:31,4
120127,chenagain,12,150,2009-3-17,23:14:52,4
120127,sanyuan2008,1,400,2009-3-18,7:19:53,4
120127,zhangjun6906,11,500,2009-3-18,7:22:43,4
120127,lorrenceluo,10,500,2009-3-18,8:46:31,4
120127,youdianwu,5,50,2009-3-18,8:53:19,4
120127,christy3291,12,265,2009-3-18,8:54:06,4
120212,tttnnnfff,10,253,2009-3-19,11:05:01,2
120212,kan365,10,200,2009-3-19,13:31:55,2
120212,Alipay367479,13,600,2009-3-20,0:58:42,2
120212,lorrenceluo,12,200,2009-3-20,10:19:18,2
120212,wywoc,5,200,2009-3-20,17:38:46,2
120212,youdianwu,3,50,2009-3-20,17:53:39,2
120212,litianbao,0.5,50,2009-3-20,19:41:17,2
120212,guchenjie,10,50,2009-3-20,23:33:44,2
120212,senre,14,177,2009-3-21,7:14:55,2
120212,pfzl518,13,50,2009-3-21,9:26:56,2
120242,jack67,19.5,184,2009-3-16,11:45:01,10
120242,nanfangjun,23,360,2009-3-16,17:26:59,10
120242,sieggeng,20,100,2009-3-16,18:11:01,10
120242,dianzi,15,150,2009-3-16,18:23:45,10
120242,guchenjie,14,50,2009-3-16,20:31:04,10
120242,chenagain,12,199,2009-3-16,22:12:26,10
120242,penthan,22,100,2009-3-17,0:48:32,10
120242,litianbao,19.4,300,2009-3-17,1:09:20,10
120242,lcg314,20,200,2009-3-17,18:08:46,10
120242,dengyuanzhong,20,72,2009-3-17,22:16:10,10
120242,sanyuan2008,1,688,2009-3-18,7:13:37,10
120242,billowhan,18,57,2009-3-18,7:41:11,10
120242,lovefine26,15.5,50,2009-3-18,8:51:04,10
120242,tttnnnfff,10,200,2009-3-18,9:06:10,10
120242,rainboy,12,50,2009-3-18,9:32:56,10
120242,tttnnnfff,10,200,2009-3-18,12:23:42,10
120242,forcey,15,71,2009-3-18,15:30:39,10
120242,aya321654,22,140,2009-3-18,20:38:37,10
120242,zjrong025,22,990,2009-3-18,20:45:37,10
120242,sunsjk,20,100,2009-3-18,22:38:34,10
120242,pandon2002,15,300,2009-3-18,22:57:34,10
120242,tonyhjj,15,500,2009-3-18,23:13:33,10
120242,lianglllll,23,300,2009-3-19,11:43:43,10
120242,wywoc,5,126,2009-3-19,13:22:55,10
120242,zhangjun6906,11,900,2009-3-19,18:37:21,10
120242,tang0218,12,900,2009-3-19,18:52:35,10
120242,wei840129,19.9,300,2009-3-19,21:07:26,10
120242,scottlang21,23,86,2009-3-19,21:14:18,10
120242,senre,18,300,2009-3-19,21:21:20,10
120242,tonglin,20,100,2009-3-19,21:25:43,10
120242,navy1981,20,226,2009-3-20,11:43:51,10
120242,wchao111,22.9,50,2009-3-20,14:40:02,10
120242,vivian19860713,15,50,2009-3-20,15:21:45,10
120242,wgp888619,22.9,500,2009-3-20,18:14:45,10
120291,chenagain,12,200,2009-3-17,23:09:32,3
120291,YuanQi,8,100,2009-3-17,23:20:44,3
120291,sanyuan2008,1,200,2009-3-18,7:25:24,3
120291,tttnnnfff,10,100,2009-3-18,9:04:49,3
120291,wywoc,5,100,2009-3-18,10:23:34,3
120291,zhzhmm,5.5,60,2009-3-18,23:05:20,3
120291,loveyufei22,10.5,100,2009-3-18,23:18:04,3
120291,Alipay367479,12,600,2009-3-18,23:40:59,3
120291,lovefine26,10.5,50,2009-3-19,0:04:24,3
120291,wei840129,9.9,50,2009-3-19,1:34:38,3
120291,senre,12,240,2009-3-19,6:59:15,3
120291,youdianwu,5,50,2009-3-19,8:41:04,3
120291,chenxin0591,10,200,2009-3-19,9:02:43,3
120306,senre,20,300,2009-3-17,16:44:28,6
120306,lcg314,20,200,2009-3-20,9:04:25,6
120306,sanyuan2008,1,200,2009-3-20,13:57:59,6
120306,kan365,18,300,2009-3-20,14:17:09,6
120306,lorrenceluo,11.5,400,2009-3-20,16:17:29,6
120306,sunsjk,20,201,2009-3-20,20:31:22,6
120306,tttnnnfff,18,100,2009-3-21,8:09:01,6
120306,guchenjie,20,50,2009-3-21,20:24:54,6
120306,litianbao,4.5,50,2009-3-22,0:23:28,6
120306,YuanQi,8,50,2009-3-22,0:34:26,6
120306,chenagain,12,200,2009-3-22,14:37:05,6
120306,shikousheng,20,50,2009-3-22,21:13:44,6
120306,shikousheng,16,200,2009-3-22,21:14:41,6
120306,chengdy,20,246,2009-3-23,9:05:25,6
120306,youdianwu,3,50,2009-3-23,9:34:58,6
120306,qf_5050,18,673,2009-3-23,11:47:17,6
120306,qf_5050,18,650,2009-3-23,11:48:13,6
120306,sunfeng,19.5,80,2009-3-23,11:57:34,6
120323,senre,18,300,2009-3-22,20:59:45,1
120323,sure96hotmail,0.5,50,2009-3-22,21:06:56,1
120323,Alipay367479,17,450,2009-3-22,23:19:31,1
120323,howru168,15,100,2009-3-22,23:31:15,1
120323,tonyhjj,15,50,2009-3-22,23:43:52,1
120323,xlkft,18,56,2009-3-23,0:27:24,1
120323,fxjjtz,18.5,50,2009-3-23,6:56:15,1
120323,dja,19,123,2009-3-23,7:14:06,1
120323,yangok1,16,191,2009-3-23,10:38:06,1
120323,lxs666,18,200,2009-3-23,11:29:24,1
120323,navy1981,18,200,2009-3-23,11:45:13,1
120323,chengdy,18,980,2009-3-23,13:34:33,1
120323,youdianwu,3,50,2009-3-23,13:53:56,1
120323,wywoc,5,200,2009-3-23,14:56:06,1
120394,litianbao,5,50,2009-3-17,18:48:08,12
120394,guchenjie,1,50,2009-3-17,19:08:34,12
120394,drizzle,5,62,2009-3-17,22:07:25,12
120394,sunfeng,17,181,2009-3-18,0:22:21,12
120394,dianzi,10,100,2009-3-18,7:09:35,12
120394,sanyuan2008,1,100,2009-3-18,7:18:20,12
120394,youdianwu,5,50,2009-3-18,9:08:11,12
120394,tttnnnfff,10,100,2009-3-18,9:08:22,12
120394,rainboy,12,50,2009-3-18,9:39:23,12
120394,forcey,15,200,2009-3-18,18:03:11,12
120394,wywoc,5,100,2009-3-18,18:23:16,12
120394,lorrenceluo,12.5,700,2009-3-18,20:30:13,12
120394,chenagain,12,300,2009-3-18,20:48:56,12
120394,pandon2002,15,100,2009-3-18,22:54:36,12
120394,tonyhjj,15,50,2009-3-18,23:14:13,12
120394,forcey,10,136,2009-3-19,14:13:44,12
120394,YuanQi,8,200,2009-3-20,0:13:42,12
120394,jack67,16.5,149,2009-3-21,7:53:46,12
120394,zhzhmm,1.5,100,2009-3-21,10:33:58,12
120394,tang0218,15,470,2009-3-21,15:33:10,12
120394,nanfangjun,17,655,2009-3-21,20:07:28,12
120394,pandon2002,15,300,2009-3-21,22:30:02,12
120394,lvxinhui,15,200,2009-3-21,23:33:11,12
120394,litianbao,9.5,480,2009-3-22,1:28:42,12
120394,litianbao,0.5,50,2009-3-22,1:29:02,12
120394,senre,15,600,2009-3-22,7:04:53,12
120394,sk116,17.4,600,2009-3-22,8:34:06,12
120394,sieggeng,15,100,2009-3-22,9:34:22,12
120394,moun,16,498,2009-3-22,9:46:15,12
120394,guchenjie,16,53,2009-3-22,11:27:16,12
120394,wgp888619,17.3,500,2009-3-22,12:12:15,12
120394,vicoocus,17.3,500,2009-3-22,12:21:50,12
120430,guchenjie,14,50,2009-3-17,19:16:06,5
120430,kan365,16,200,2009-3-18,9:45:20,5
120430,sanyuan2008,1,143,2009-3-18,11:01:29,5
120430,litianbao,5,50,2009-3-18,12:11:52,5
120430,wywoc,10,150,2009-3-18,15:12:06,5
120430,zhzhmm,1,60,2009-3-18,23:14:05,5
120430,senre,18,200,2009-3-19,8:26:17,5
120430,youdianwu,5,200,2009-3-19,8:45:09,5
120430,sanyuan2008,1,200,2009-3-19,18:11:08,5
120430,wei840129,19.9,289,2009-3-19,21:06:21,5
120430,lorrenceluo,9.5,300,2009-3-20,9:42:29,5
120430,linyiq,15.9,108,2009-3-20,14:18:32,5
120430,youdianwu,3,50,2009-3-20,15:35:29,5
120430,wgp888619,19.5,200,2009-3-20,17:17:09,5
120430,wgp888619,19.5,300,2009-3-20,17:17:54,5
120430,Alipay367479,18,500,2009-3-20,17:26:26,5
120475,Alipay710011,25,797,2009-3-18,18:43:47,2
120475,spiderman,25,797,2009-3-18,19:34:55,2
120475,jackgu,25,500,2009-3-18,19:39:54,2
120475,slon2000,25,500,2009-3-18,19:54:21,2
120475,lorrenceluo,25,500,2009-3-18,20:13:15,2
120506,jionyu,15,58,2009-3-18,23:41:36,12
120506,fateland,15,50,2009-3-19,1:18:09,12
120506,senre,15,50,2009-3-19,8:21:33,12
120506,Alipay755262,14,200,2009-3-19,8:43:50,12
120506,wywoc,5,250,2009-3-19,9:43:08,12
120506,lorrenceluo,10.5,500,2009-3-19,10:51:36,12
120507,sure96hotmail,5,50,2009-3-19,11:12:25,1
120507,tonilu,8,50,2009-3-19,11:26:43,1
120507,youdianwu,5,50,2009-3-19,14:46:31,1
120507,dianzi,8,50,2009-3-19,18:49:13,1
120507,guchenjie,1,50,2009-3-19,19:14:18,1
120507,zhzhmm,1,60,2009-3-19,21:44:16,1
120507,Alipay367479,7,500,2009-3-20,1:02:47,1
120507,tttnnnfff,5,50,2009-3-20,8:21:17,1
120507,jon678,6,50,2009-3-20,8:57:02,1
120507,lorrenceluo,8.5,200,2009-3-20,9:38:27,1
120507,flyboy,9.5,100,2009-3-20,13:02:11,1
120507,litianbao,9.5,300,2009-3-20,13:49:26,1
120507,litianbao,0.5,50,2009-3-20,13:50:13,1
120507,sk116,5.5,200,2009-3-20,22:39:52,1
120507,paopao22,9,200,2009-3-21,21:50:49,1
120507,YuanQi,8,100,2009-3-22,0:31:46,1
120507,senre,8,200,2009-3-22,7:05:34,1
120507,fxjjtz,9.5,200,2009-3-22,10:13:46,1
120507,sunsjk,9.5,50,2009-3-22,10:56:33,1
120507,sieggeng,7,73,2009-3-22,14:18:40,1
120507,Alipay848718,9.5,27,2009-3-22,16:47:48,1
120507,Alipay367479,9.4,200,2009-3-22,20:37:36,1
120507,shikousheng,9.4,50,2009-3-22,21:48:38,1
120507,shikousheng,9,140,2009-3-22,21:59:22,1
120526,kan365,18,200,2009-3-20,14:18:24,6
120526,chenagain,12,300,2009-3-22,14:35:20,6
120526,dja,20,145,2009-3-23,7:16:44,6
120526,lcg314,20,400,2009-3-23,9:54:15,6
120526,wangcy521,20,120,2009-3-23,11:24:39,6
120526,lxs666,19,100,2009-3-23,11:29:01,6
120526,zgxrw,16,50,2009-3-23,12:16:33,6
120526,drizzle,7,50,2009-3-23,16:14:11,6
120526,sanyuan2008,1,300,2009-3-23,17:40:24,6
120526,YuanQi,8,200,2009-3-23,23:27:52,6
120526,vivian19860713,10,50,2009-3-24,9:45:33,6
120526,billowhan,18,200,2009-3-24,13:57:27,6
120526,tonyhjj,15,300,2009-3-24,22:01:21,6
120526,dja,20,158,2009-3-25,6:59:17,6
120526,litianbao,2.5,50,2009-3-25,9:47:40,6
120526,jon678,15,50,2009-3-25,19:48:02,6
120526,guchenjie,12,50,2009-3-25,21:53:10,6
120526,chenagain,12,200,2009-3-26,14:26:59,6
120526,dw2139,20,600,2009-3-27,19:40:04,6
120526,the_cid,21,185,2009-3-28,0:36:10,6
120526,lvxinhui,20,122,2009-3-29,12:39:19,6
120526,sunsjk,20,50,2009-3-29,17:00:37,6
120526,youdianwu,3,50,2009-3-29,17:19:54,6
120526,flyboy,20,50,2009-3-29,21:58:11,6
120526,navy1981,20,70,2009-3-30,9:03:13,6
120526,chenagain,15,200,2009-3-30,11:45:16,6
120526,wywoc,8,100,2009-3-30,12:03:15,6
120526,wchao111,19.5,50,2009-3-30,12:34:05,6
